,precision,recall,f1-score,support
0,0.698610616316352,0.7149106817353262,0.7066666666666667,2743.0
1,0.6883220406536469,0.6712009327633113,0.6796536796536796,2573.0
accuracy,0.6937547027840482,0.6937547027840482,0.6937547027840482,0.6937547027840482
macro avg,0.6934663284849995,0.6930558072493187,0.6931601731601731,5316.0
weighted avg,0.6936308373133159,0.6937547027840482,0.6935920963911935,5316.0
